"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZS_BOX_SMALL","Мала скриня","Small storage box","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня","Мала скриня",
"STR_OZS_BOX_SMALL_DESC","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","A 250-cell box with two weapon slots. Its contents exist only while the box is open.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 250 комірок і два гнізда для зброї. Речі всередині існують лише поки скриня відкрита.",
"STR_OZS_BOX_MEDIUM","Середня скриня","Medium storage box","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня","Середня скриня",
"STR_OZS_BOX_MEDIUM_DESC","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","A 500-cell box with four weapon slots. Its contents exist only while the box is open.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 500 комірок і чотири гнізда для зброї. Речі всередині існують лише поки скриня відкрита.",
"STR_OZS_BOX_LARGE","Велика скриня","Large storage box","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня","Велика скриня",
"STR_OZS_BOX_LARGE_DESC","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","A 1000-cell box with six weapon slots. Its contents exist only while the box is open.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.","Скриня на 1000 комірок і шість гнізд для зброї. Речі всередині існують лише поки скриня відкрита.",
"STR_OZS_SLOT_WEAPON","Зброя","Weapon","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя",
"STR_OZS_STASH_OPEN","Відкрити особистий схрон","Open personal stash","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон","Відкрити особистий схрон",
"STR_OZS_STASH","Особистий схрон","Personal stash","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон","Особистий схрон",
"STR_OZS_STASH_DESC","Тут лежить лише ваше. Інші бачать у схроні своє.","Only yours is in here. Everyone else sees their own.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.","Тут лежить лише ваше. Інші бачать у схроні своє.",
